date,google_search,google_shopping,google_pmax,google_display,google_video,meta_facebook,meta_instagram,meta_other,first_orders,revenue,all_orders,all_revenue
2023-12-25,195025.83,0.0,664817.62,42614.36,61713.7,1621273.35,1199406.83,2480.42,396,13536310.0,836,34255780.0
2024-01-01,137272.63,0.0,260797.54,84981.14,68385.06,1222737.43,1052983.24,2425.38,442,15270520.0,914,34442186.0
2024-01-08,157679.68,0.0,212352.52,61984.73,68744.74,1217482.3,1687212.1400000001,3194.54,448,14025110.0,903,33942175.0
2024-01-15,188537.94,0.0,218590.006502749,61564.94,67224.20999999999,1110276.1400000001,1312120.54,2257.36,489,15982706.020029679,952,35647136.02002968
2024-01-22,111213.13,0.0,239874.32,59058.92,64746.4,1593678.65,1891096.27,2601.09,405,14033280.0,829,33263153.0
2024-01-29,137742.72,0.0,273363.12,67338.93,69034.66,1988877.3,3124893.94,4960.9800000000005,496,16396740.0,1050,43255530.0
2024-02-05,148910.86,0.0,314558.42000000004,74679.04,75843.47,1614357.92,3356425.3000000003,3441.94,556,18810634.56353434,1034,41200124.56353434
2024-02-12,116064.05,0.0,200226.724038469,51069.23,47634.6,1678923.6,3127990.8,4675.66,600,20346592.938676238,1077,41628612.93867624
2024-02-19,225282.84,0.0,416318.36,59994.44,99122.24,1670056.28,3998353.74,3908.04,470,18911916.0,922,41277346.0
2024-02-26,173343.63,0.0,349179.42,90400.88,69639.98999999999,1564687.72,4785114.49,5492.96,632,24355173.0,1177,50047403.0
2024-03-04,146127.14,0.0,272163.18,72817.91,75998.76000000001,1429941.98,4579943.25,8664.880000000001,568,22261953.0,1044,46725633.0
2024-03-11,148727.82,0.0,321155.42,79831.41,78027.34999999999,1641934.9,3736720.32,5575.72,410,19488420.0,842,45960906.0
2024-03-18,158389.44,0.0,281694.69,77087.23,76116.64,1920333.56,2731954.92,6837.52,421,20939472.32363167,885,49693412.323631674
2024-03-25,144844.95,0.0,264263.21,71646.13,71324.64,1671235.09,2932037.66,11946.25,393,19875500.0,842,47774244.0
2024-04-01,141176.68,0.0,261565.3,79685.29,79225.98999999999,1558810.53,3215195.23,5252.22,589,33207450.0,1218,72376970.0
2024-04-08,148539.66999999998,0.0,353867.91,82751.27,78697.91,2433697.0,5871357.0,13489.0,523,32011260.0,1148,72995390.0
2024-04-15,156191.13,0.0,374210.3,75987.54,76886.17,2273393.0,4470127.0,7754.0,521,34326410.0,1099,76228906.0
2024-04-22,166999.16,0.0,463204.13,73525.42,73627.2,2161644.0,4859772.0,6505.0,531,34454660.0,1175,82529485.0
2024-04-29,169956.07,0.0,599318.83,75085.42,74071.83,2490941.0,6657447.0,9635.0,874,59554865.5626594,1815,131897988.5626594
2024-05-06,272725.22,0.0,1267464.46,74593.20999999999,74346.09,2751821.7800000003,10509125.22,13126.0,993,72673746.0,1979,150045737.7461875
2024-05-13,222655.59,0.0,1600974.0,77637.41,77269.69,3397688.0,11000380.0,13446.0,855,56204326.81832247,1692,116228487.8183225
2024-05-20,144635.5,0.0,1123326.45,76556.17,72880.0,2011633.0,6770201.0,7733.0,692,44706380.0,1372,91393020.0
2024-05-27,160964.25,0.0,1366099.13,70704.17,70907.16,1933979.0,6740659.0,8338.0,557,32308463.0,1421,105511093.0
